,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,PAN_D,PRI_D,PRD_D,PVEM_D,PT_D,MC_D,NA_D,MORENA_D,ES_D,PAN_PRD_MC_D,PAN_PRD_D,PAN_MC_D,PRD_MC_D,PRI_PVEM_NA_D,PRI_PVEM_D,PRI_NA_D,PVEM_NA_D,PT_MORENA_ES_D,PT_MORENA_D,PT_ES_D,MORENA_ES_D,CAND_IND1_D,CAND_IND2_D,NUM_VOTOS_CAN_NREG_D,NUM_VOTOS_NULOS_D,TOTAL_VOTOS_D,LISTA_NOMINAL_D,index_D,PAN_PR,PRI_PR,PRD_PR,PVEM_PR,PT_PR,MC_PR,NA_PR,MORENA_PR,ES_PR,PAN_PRD_MC_PR,PAN_PRD_PR,PAN_MC_PR,PRD_MC_PR,PRI_PVEM_NA_PR,PRI_PVEM_PR,PRI_NA_PR,PVEM_NA_PR,PT_MORENA_ES_PR,PT_MORENA_PR,PT_ES_PR,MORENA_ES_PR,CAND_IND1_PR,CAND_IND2_PR,NUM_VOTOS_CAN_NREG_PR,NUM_VOTOS_NULOS_PR,TOTAL_VOTOS_PR,LISTA_NOMINAL_PR,index_PR
CAXHUACAN,266.0,649.0,38.0,102.0,91.0,97.0,29.0,760.0,35.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,172.0,2253.0,2796,21030,208.0,586.0,19.0,61.0,120.0,62.0,22.0,933.0,48.0,3.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,15.0,5.0,1.0,6.0,0.0,14.0,0.0,142.0,2255,2796,21030
CAÑADA MORELOS,1284.0,2234.0,244.0,262.0,384.0,147.0,111.0,3662.0,124.0,8.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,81.0,31.0,3.0,36.0,0.0,0.0,2.0,589.0,9221.0,13797,21029,1186.0,1487.0,99.0,118.0,635.0,76.0,59.0,4311.0,191.0,12.0,10.0,7.0,1.0,6.0,20.0,4.0,0.0,167.0,96.0,6.0,66.0,1.0,162.0,1.0,473.0,9194,13797,21029
CHALCHICOMULA DE SESMA,5922.0,2270.0,428.0,607.0,618.0,1151.0,787.0,7864.0,421.0,174.0,67.0,101.0,8.0,0.0,0.0,0.0,0.0,300.0,106.0,14.0,85.0,0.0,0.0,7.0,1190.0,22120.0,33128,21046,4344.0,1986.0,217.0,173.0,1127.0,392.0,233.0,10653.0,533.0,166.0,45.0,77.0,4.0,41.0,34.0,9.0,5.0,584.0,182.0,45.0,157.0,6.0,893.0,4.0,883.0,22793,33128,21046
CHAPULCO,692.0,842.0,163.0,227.0,135.0,435.0,31.0,1035.0,31.0,11.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,4.0,0.0,0.0,0.0,143.0,3784.0,4888,21047,564.0,543.0,69.0,78.0,304.0,220.0,14.0,1616.0,83.0,3.0,20.0,6.0,3.0,5.0,5.0,2.0,1.0,34.0,24.0,3.0,19.0,0.0,76.0,0.0,114.0,3806,4888,21047
CHIAUTLA,1362.0,2722.0,154.0,167.0,289.0,170.0,258.0,4490.0,218.0,11.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,33.0,7.0,53.0,0.0,0.0,2.0,527.0,10581.0,16307,21048,1079.0,2284.0,109.0,66.0,485.0,88.0,111.0,4961.0,337.0,17.0,17.0,8.0,1.0,5.0,18.0,5.0,2.0,179.0,44.0,17.0,80.0,24.0,172.0,2.0,436.0,10547,16307,21048
CHIAUTZINGO,1387.0,1759.0,165.0,305.0,658.0,235.0,98.0,3551.0,160.0,13.0,2.0,11.0,3.0,0.0,0.0,0.0,0.0,82.0,63.0,4.0,21.0,0.0,0.0,1.0,473.0,8991.0,14334,21049,1018.0,1465.0,117.0,72.0,794.0,89.0,37.0,3992.0,192.0,20.0,8.0,15.0,1.0,11.0,18.0,3.0,1.0,206.0,101.0,15.0,42.0,4.0,491.0,4.0,282.0,8998,14334,21049
CHICHIQUILA,2016.0,2835.0,186.0,102.0,288.0,231.0,1723.0,2239.0,110.0,129.0,50.0,22.0,8.0,0.0,0.0,0.0,0.0,116.0,41.0,10.0,23.0,0.0,0.0,4.0,883.0,11016.0,14444,21051,2051.0,2552.0,144.0,45.0,430.0,125.0,1176.0,2883.0,172.0,125.0,46.0,18.0,8.0,6.0,65.0,16.0,3.0,165.0,57.0,13.0,45.0,1.0,81.0,21.0,779.0,11027,14444,21051
CHICONCUAUTLA,2367.0,3431.0,116.0,77.0,118.0,39.0,1205.0,413.0,22.0,31.0,57.0,12.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,653.0,8554.0,10348,21050,2192.0,3204.0,100.0,51.0,265.0,29.0,960.0,854.0,49.0,36.0,37.0,16.0,1.0,12.0,39.0,20.0,9.0,19.0,10.0,3.0,7.0,0.0,60.0,0.0,573.0,8546,10348,21050
CHIETLA,2422.0,3613.0,311.0,430.0,599.0,1482.0,605.0,7057.0,346.0,23.0,41.0,20.0,12.0,0.0,0.0,0.0,0.0,125.0,56.0,14.0,58.0,0.0,0.0,9.0,1065.0,18288.0,27640,21052,1726.0,2809.0,193.0,122.0,1201.0,855.0,309.0,8404.0,539.0,37.0,42.0,25.0,13.0,15.0,29.0,16.0,2.0,349.0,98.0,20.0,109.0,18.0,447.0,3.0,838.0,18219,27640,21052
CHIGMECATITLAN,239.0,303.0,10.0,8.0,8.0,25.0,1.0,317.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,949.0,1111,21053,202.0,269.0,3.0,4.0,21.0,15.0,1.0,386.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,10.0,0.0,19.0,950,1111,21053
CHIGNAHUAPAN,12524.0,6436.0,374.0,469.0,1476.0,390.0,717.0,8615.0,308.0,72.0,59.0,45.0,4.0,0.0,0.0,0.0,0.0,218.0,146.0,15.0,55.0,0.0,0.0,3.0,1494.0,33420.0,44566,21054,10306.0,5002.0,277.0,192.0,2454.0,217.0,352.0,10795.0,515.0,69.0,57.0,40.0,3.0,32.0,90.0,21.0,12.0,455.0,213.0,54.0,106.0,17.0,1089.0,25.0,1211.0,33604,44566,21054
CHIGNAUTLA,2295.0,4291.0,220.0,769.0,510.0,889.0,465.0,4308.0,399.0,20.0,21.0,11.0,11.0,0.0,0.0,0.0,0.0,215.0,42.0,12.0,89.0,0.0,0.0,5.0,983.0,15555.0,21286,21055,1935.0,3358.0,128.0,217.0,1023.0,496.0,213.0,5564.0,497.0,35.0,26.0,20.0,7.0,23.0,66.0,7.0,8.0,414.0,86.0,27.0,130.0,0.0,541.0,3.0,705.0,15529,21286,21055
CHILA,174.0,1053.0,828.0,23.0,43.0,73.0,5.0,501.0,14.0,6.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,7.0,0.0,0.0,0.0,103.0,2858.0,3935,21056,177.0,878.0,592.0,12.0,106.0,32.0,4.0,806.0,34.0,5.0,12.0,2.0,4.0,2.0,13.0,2.0,0.0,32.0,6.0,0.0,3.0,0.0,32.0,0.0,97.0,2851,3935,21056
CHILA DE LA SAL,169.0,471.0,5.0,4.0,6.0,1.0,1.0,243.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,7.0,934.0,1212,21057,124.0,443.0,9.0,2.0,19.0,1.0,0.0,260.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,8.0,1.0,6.0,0.0,10.0,913,1212,21057
CHILCHOTLA,2322.0,1342.0,656.0,303.0,1247.0,1048.0,183.0,957.0,95.0,10.0,24.0,23.0,13.0,0.0,0.0,0.0,0.0,68.0,39.0,6.0,8.0,0.0,0.0,1.0,921.0,9266.0,12104,21059,1979.0,1064.0,534.0,207.0,1580.0,692.0,148.0,1697.0,192.0,14.0,26.0,29.0,12.0,4.0,18.0,3.0,1.0,122.0,52.0,13.0,18.0,0.0,90.0,1.0,772.0,9268,12104,21059
