,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,PAN_D,PRI_D,PRD_D,PVEM_D,PT_D,MC_D,NA_D,MORENA_D,ES_D,PAN_PRD_MC_D,PAN_PRD_D,PAN_MC_D,PRD_MC_D,PRI_PVEM_NA_D,PRI_PVEM_D,PRI_NA_D,PVEM_NA_D,PT_MORENA_ES_D,PT_MORENA_D,PT_ES_D,MORENA_ES_D,CAND_IND1_D,CAND_IND2_D,NUM_VOTOS_CAN_NREG_D,NUM_VOTOS_NULOS_D,TOTAL_VOTOS_D,LISTA_NOMINAL_D,index_D,PAN_PR,PRI_PR,PRD_PR,PVEM_PR,PT_PR,MC_PR,NA_PR,MORENA_PR,ES_PR,PAN_PRD_MC_PR,PAN_PRD_PR,PAN_MC_PR,PRD_MC_PR,PRI_PVEM_NA_PR,PRI_PVEM_PR,PRI_NA_PR,PVEM_NA_PR,PT_MORENA_ES_PR,PT_MORENA_PR,PT_ES_PR,MORENA_ES_PR,CAND_IND1_PR,CAND_IND2_PR,NUM_VOTOS_CAN_NREG_PR,NUM_VOTOS_NULOS_PR,TOTAL_VOTOS_PR,LISTA_NOMINAL_PR,index_PR
TECAMACHALCO,4386.0,3258.0,683.0,1367.0,1355.0,1311.0,408.0,20638.0,624.0,80.0,191.0,33.0,17.0,0.0,0.0,0.0,0.0,518.0,273.0,25.0,206.0,0.0,0.0,8.0,1856.0,37237.0,53689,21153,2644.0,1925.0,302.0,341.0,2490.0,426.0,134.0,23890.0,902.0,89.0,137.0,44.0,12.0,40.0,36.0,18.0,11.0,1265.0,526.0,85.0,357.0,12.0,1092.0,25.0,1166.0,37969,53689,21153
TECOMATLAN,117.0,1683.0,35.0,43.0,103.0,18.0,15.0,494.0,13.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,2.0,4.0,0.0,0.0,0.0,111.0,2678.0,4794,21154,108.0,1536.0,18.0,23.0,128.0,7.0,7.0,613.0,23.0,3.0,4.0,2.0,1.0,16.0,13.0,4.0,1.0,41.0,15.0,3.0,4.0,0.0,18.0,0.0,73.0,2661,4794,21154
TEHUACAN,21170.0,17388.0,1900.0,9531.0,4040.0,1752.0,1914.0,72014.0,1799.0,271.0,140.0,58.0,32.0,0.0,0.0,0.0,0.0,1360.0,550.0,85.0,396.0,0.0,0.0,38.0,5038.0,139476.0,216180,21155,17074.0,10296.0,1009.0,2860.0,6157.0,557.0,463.0,84154.0,1988.0,373.0,140.0,77.0,8.0,184.0,345.0,38.0,25.0,3005.0,1066.0,138.0,768.0,79.0,6828.0,29.0,3244.0,140905,216180,21155
TEHUITZINGO,889.0,2193.0,73.0,46.0,110.0,192.0,56.0,2500.0,38.0,5.0,22.0,5.0,4.0,0.0,0.0,0.0,0.0,39.0,14.0,1.0,12.0,0.0,0.0,0.0,212.0,6411.0,9608,21156,757.0,1800.0,44.0,11.0,182.0,132.0,21.0,2975.0,74.0,9.0,15.0,7.0,3.0,11.0,26.0,4.0,0.0,71.0,25.0,6.0,21.0,1.0,64.0,0.0,162.0,6421,9608,21156
TENAMPULCO,918.0,1391.0,27.0,365.0,68.0,39.0,173.0,925.0,25.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,201.0,4168.0,5261,21157,876.0,1178.0,18.0,291.0,129.0,13.0,102.0,1207.0,35.0,16.0,10.0,0.0,0.0,5.0,13.0,4.0,7.0,31.0,9.0,4.0,8.0,0.0,65.0,0.0,147.0,4168,5261,21157
TEOPANTLAN,1064.0,783.0,15.0,19.0,146.0,18.0,9.0,294.0,11.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,123.0,2514.0,3489,21158,965.0,661.0,15.0,10.0,202.0,14.0,6.0,446.0,15.0,3.0,12.0,3.0,0.0,1.0,4.0,1.0,0.0,21.0,5.0,1.0,2.0,0.0,10.0,0.0,103.0,2500,3489,21158
TEOTLALCO,220.0,419.0,254.0,38.0,50.0,37.0,470.0,360.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,86.0,1965.0,2559,21159,225.0,325.0,129.0,15.0,175.0,16.0,215.0,655.0,60.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,25.0,6.0,2.0,5.0,2.0,22.0,0.0,81.0,1966,2559,21159
TEPANCO DE LOPEZ,1487.0,1801.0,143.0,270.0,425.0,212.0,1105.0,4831.0,166.0,10.0,15.0,8.0,3.0,0.0,0.0,0.0,0.0,93.0,45.0,3.0,37.0,0.0,0.0,2.0,675.0,11331.0,15051,21160,1055.0,1084.0,90.0,51.0,748.0,90.0,494.0,6125.0,244.0,11.0,20.0,9.0,2.0,7.0,19.0,15.0,4.0,220.0,100.0,10.0,84.0,4.0,294.0,3.0,546.0,11329,15051,21160
TEPANGO DE RODRIGUEZ,367.0,265.0,17.0,66.0,85.0,398.0,223.0,577.0,50.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,289.0,2355.0,2899,21161,285.0,207.0,20.0,49.0,99.0,320.0,204.0,785.0,65.0,0.0,3.0,6.0,1.0,1.0,1.0,6.0,1.0,17.0,5.0,2.0,7.0,0.0,13.0,0.0,242.0,2339,2899,21161
TEPATLAXCO DE HIDALGO,1598.0,1150.0,179.0,770.0,508.0,181.0,85.0,3474.0,193.0,16.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,171.0,44.0,10.0,60.0,0.0,0.0,0.0,408.0,8856.0,11798,21162,1241.0,1049.0,78.0,362.0,697.0,72.0,29.0,3984.0,277.0,24.0,6.0,8.0,1.0,13.0,14.0,6.0,3.0,363.0,64.0,23.0,61.0,0.0,242.0,0.0,269.0,8886,11798,21162
TEPEACA,9039.0,7929.0,599.0,1463.0,1157.0,858.0,411.0,12973.0,444.0,102.0,67.0,59.0,16.0,0.0,0.0,0.0,0.0,376.0,147.0,19.0,122.0,0.0,0.0,7.0,1478.0,37266.0,54888,21163,6354.0,5002.0,366.0,638.0,2131.0,470.0,177.0,17686.0,654.0,99.0,74.0,73.0,8.0,43.0,87.0,10.0,10.0,888.0,270.0,55.0,244.0,22.0,1098.0,7.0,1155.0,37621,54888,21163
TEPEMAXALCO,129.0,137.0,2.0,283.0,3.0,7.0,3.0,56.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,651.0,880,21164,134.0,116.0,2.0,216.0,18.0,4.0,2.0,116.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,20.0,649,880,21164
TEPEOJUMA,521.0,1480.0,64.0,185.0,148.0,530.0,36.0,1515.0,46.0,12.0,2.0,38.0,1.0,0.0,0.0,0.0,0.0,46.0,34.0,3.0,12.0,0.0,0.0,0.0,224.0,4897.0,6715,21165,425.0,1231.0,42.0,53.0,277.0,373.0,9.0,1897.0,83.0,14.0,2.0,31.0,0.0,7.0,7.0,3.0,0.0,88.0,44.0,4.0,19.0,1.0,89.0,0.0,187.0,4886,6715,21165
TEPETZINTLA,1093.0,1234.0,52.0,91.0,242.0,63.0,1017.0,814.0,58.0,5.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,12.0,2.0,9.0,0.0,0.0,0.0,689.0,5407.0,7018,21166,945.0,1170.0,39.0,47.0,362.0,50.0,896.0,1108.0,89.0,8.0,5.0,2.0,1.0,4.0,7.0,16.0,8.0,60.0,10.0,13.0,10.0,1.0,40.0,0.0,568.0,5459,7018,21166
TEPEXCO,115.0,880.0,260.0,513.0,114.0,49.0,41.0,729.0,808.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,7.0,6.0,34.0,0.0,0.0,0.0,193.0,3797.0,4881,21167,108.0,749.0,160.0,367.0,209.0,20.0,16.0,935.0,876.0,6.0,14.0,2.0,1.0,1.0,8.0,1.0,3.0,58.0,15.0,7.0,30.0,0.0,50.0,0.0,158.0,3794,4881,21167
TEPEXI DE RODRIGUEZ,1005.0,2457.0,127.0,193.0,224.0,312.0,583.0,4149.0,151.0,23.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,95.0,36.0,10.0,15.0,0.0,0.0,1.0,625.0,10026.0,14383,21168,754.0,2031.0,62.0,70.0,430.0,134.0,365.0,5276.0,237.0,29.0,9.0,13.0,2.0,14.0,16.0,9.0,3.0,201.0,64.0,15.0,48.0,3.0,226.0,0.0,426.0,10437,14383,21168
TEPEYAHUALCO,2244.0,2113.0,221.0,722.0,155.0,508.0,545.0,2155.0,93.0,16.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,19.0,0.0,0.0,0.0,605.0,9476.0,12192,21169,1929.0,1785.0,140.0,386.0,404.0,280.0,344.0,3054.0,166.0,18.0,15.0,14.0,1.0,5.0,17.0,7.0,9.0,102.0,30.0,7.0,41.0,0.0,265.0,0.0,441.0,9460,12192,21169
TEPEYAHUALCO DE CUAUHTEMOC,322.0,204.0,188.0,37.0,82.0,52.0,16.0,1162.0,28.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,1.0,6.0,0.0,0.0,1.0,110.0,2250.0,2712,21170,187.0,125.0,87.0,7.0,176.0,14.0,6.0,1337.0,51.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,74.0,22.0,2.0,21.0,2.0,44.0,0.0,86.0,2250,2712,21170
TETELA DE OCAMPO,3449.0,4972.0,329.0,187.0,312.0,1076.0,152.0,2788.0,145.0,52.0,82.0,37.0,10.0,0.0,0.0,0.0,0.0,56.0,26.0,6.0,29.0,0.0,0.0,7.0,933.0,14648.0,18777,21171,2714.0,4209.0,225.0,73.0,667.0,690.0,47.0,4355.0,272.0,42.0,84.0,36.0,13.0,21.0,80.0,9.0,2.0,161.0,51.0,17.0,67.0,5.0,297.0,2.0,688.0,14827,18777,21171
TETELES DE AVILA CASTILLO,712.0,452.0,40.0,163.0,149.0,91.0,112.0,1428.0,25.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,1.0,7.0,0.0,0.0,0.0,179.0,3394.0,4397,21172,453.0,301.0,11.0,49.0,316.0,27.0,21.0,1797.0,62.0,8.0,4.0,0.0,0.0,7.0,3.0,1.0,1.0,56.0,23.0,5.0,12.0,0.0,143.0,0.0,108.0,3408,4397,21172
TEZIUTLAN,10871.0,9631.0,885.0,2538.0,1314.0,1257.0,1491.0,17345.0,999.0,115.0,56.0,30.0,9.0,0.0,0.0,0.0,0.0,280.0,111.0,8.0,106.0,0.0,0.0,21.0,2646.0,49713.0,71760,21173,9980.0,6251.0,407.0,568.0,2804.0,472.0,425.0,21563.0,1047.0,206.0,72.0,62.0,8.0,65.0,85.0,19.0,9.0,832.0,290.0,45.0,248.0,0.0,3306.0,43.0,1504.0,50311,71760,21173
TIANGUISMANALCO,915.0,516.0,126.0,367.0,92.0,263.0,284.0,1420.0,46.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,24.0,12.0,1.0,7.0,0.0,0.0,5.0,267.0,4361.0,8107,21174,695.0,457.0,80.0,171.0,236.0,197.0,137.0,1822.0,76.0,9.0,4.0,4.0,0.0,9.0,12.0,5.0,3.0,68.0,39.0,5.0,17.0,0.0,78.0,0.0,191.0,4315,8107,21174
TILAPA,844.0,971.0,133.0,82.0,168.0,114.0,95.0,1755.0,86.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,1.0,19.0,0.0,0.0,0.0,269.0,4611.0,6800,21175,635.0,745.0,65.0,21.0,308.0,50.0,40.0,2151.0,133.0,8.0,14.0,14.0,0.0,8.0,12.0,5.0,1.0,101.0,45.0,8.0,39.0,1.0,119.0,1.0,215.0,4739,6800,21175
TLACHICHUCA,2218.0,1985.0,223.0,784.0,2023.0,732.0,2020.0,3071.0,173.0,29.0,39.0,26.0,9.0,0.0,0.0,0.0,0.0,228.0,307.0,26.0,42.0,0.0,0.0,2.0,966.0,14903.0,20335,21179,2015.0,1648.0,120.0,423.0,2836.0,299.0,371.0,4624.0,267.0,40.0,46.0,23.0,4.0,20.0,33.0,21.0,13.0,464.0,368.0,40.0,77.0,2.0,480.0,48.0,602.0,14884,20335,21179
TLACOTEPEC DE BENITO JUAREZ,2620.0,4381.0,237.0,702.0,2342.0,513.0,676.0,10341.0,418.0,12.0,25.0,12.0,5.0,0.0,0.0,0.0,0.0,279.0,223.0,27.0,118.0,0.0,0.0,7.0,1967.0,24905.0,34998,21176,2256.0,2310.0,169.0,143.0,3083.0,269.0,414.0,12930.0,554.0,32.0,30.0,15.0,4.0,19.0,38.0,34.0,7.0,686.0,325.0,46.0,183.0,12.0,563.0,1.0,1585.0,25708,34998,21176
TLACUILOTEPEC,1274.0,3751.0,300.0,63.0,207.0,1119.0,55.0,1438.0,36.0,26.0,21.0,21.0,60.0,0.0,0.0,0.0,0.0,24.0,13.0,5.0,6.0,0.0,0.0,0.0,582.0,9001.0,11719,21178,909.0,3402.0,231.0,44.0,406.0,895.0,45.0,2129.0,100.0,25.0,14.0,28.0,47.0,20.0,94.0,6.0,1.0,41.0,24.0,8.0,27.0,4.0,56.0,1.0,426.0,8983,11719,21178
TLAHUAPAN,2794.0,4466.0,355.0,950.0,1377.0,630.0,971.0,5479.0,366.0,20.0,31.0,13.0,2.0,0.0,0.0,0.0,0.0,133.0,133.0,6.0,36.0,0.0,0.0,15.0,1157.0,18934.0,27932,21180,2127.0,3068.0,208.0,437.0,2181.0,290.0,423.0,7172.0,518.0,38.0,31.0,14.0,7.0,22.0,39.0,26.0,7.0,401.0,209.0,33.0,91.0,13.0,643.0,12.0,808.0,18818,27932,21180
TLALTENANGO,851.0,351.0,44.0,128.0,171.0,60.0,72.0,1247.0,56.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,3.0,8.0,0.0,0.0,0.0,160.0,3215.0,4696,21181,688.0,275.0,28.0,40.0,280.0,24.0,25.0,1450.0,50.0,10.0,12.0,1.0,0.0,4.0,3.0,1.0,1.0,61.0,32.0,4.0,9.0,1.0,89.0,0.0,133.0,3221,4696,21181
TLANEPANTLA,350.0,454.0,225.0,40.0,91.0,139.0,17.0,1119.0,33.0,3.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,33.0,11.0,1.0,13.0,0.0,0.0,0.0,109.0,2652.0,3403,21182,234.0,265.0,124.0,2.0,146.0,56.0,6.0,1438.0,63.0,13.0,4.0,18.0,1.0,1.0,7.0,0.0,0.0,66.0,28.0,3.0,24.0,1.0,88.0,0.0,66.0,2654,3403,21182
TLAOLA,3813.0,3545.0,155.0,90.0,185.0,598.0,51.0,2125.0,55.0,11.0,45.0,12.0,1.0,0.0,0.0,0.0,0.0,49.0,25.0,3.0,26.0,0.0,0.0,0.0,579.0,11368.0,14179,21183,3482.0,3165.0,137.0,38.0,319.0,567.0,36.0,2765.0,104.0,13.0,36.0,12.0,3.0,14.0,40.0,5.0,1.0,71.0,34.0,6.0,29.0,6.0,90.0,5.0,483.0,11461,14179,21183
TLAPACOYA,1186.0,751.0,39.0,107.0,53.0,33.0,718.0,869.0,22.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,3.0,0.0,0.0,1.0,151.0,3975.0,4755,21184,1067.0,618.0,29.0,77.0,129.0,12.0,605.0,1220.0,41.0,6.0,7.0,1.0,0.0,3.0,4.0,7.0,4.0,20.0,9.0,4.0,8.0,0.0,35.0,0.0,123.0,4029,4755,21184
TLAPANALA,935.0,502.0,101.0,120.0,158.0,827.0,354.0,1694.0,51.0,1.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,50.0,14.0,1.0,16.0,0.0,0.0,0.0,306.0,5147.0,6723,21185,673.0,401.0,121.0,29.0,301.0,501.0,227.0,2346.0,111.0,6.0,4.0,10.0,2.0,0.0,6.0,2.0,0.0,90.0,26.0,3.0,38.0,0.0,85.0,0.0,228.0,5210,6723,21185
TLATLAUQUITEPEC,5132.0,3624.0,407.0,1118.0,1370.0,1913.0,1305.0,8378.0,380.0,47.0,37.0,55.0,12.0,0.0,0.0,0.0,0.0,200.0,91.0,16.0,70.0,0.0,0.0,4.0,1847.0,26006.0,37763,21186,3916.0,3350.0,247.0,429.0,2161.0,1067.0,689.0,10526.0,503.0,66.0,47.0,71.0,19.0,36.0,61.0,25.0,13.0,597.0,250.0,44.0,165.0,0.0,932.0,2.0,1474.0,26690,37763,21186
TLAXCO,859.0,274.0,54.0,688.0,51.0,495.0,11.0,596.0,37.0,4.0,41.0,10.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,5.0,0.0,0.0,0.0,169.0,3312.0,3814,21187,633.0,274.0,30.0,610.0,122.0,355.0,9.0,960.0,60.0,4.0,28.0,8.0,5.0,2.0,19.0,1.0,0.0,13.0,8.0,2.0,10.0,0.0,21.0,0.0,139.0,3313,3814,21187
TOCHIMILCO,2463.0,1843.0,73.0,1682.0,218.0,456.0,99.0,1816.0,77.0,19.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,4.0,19.0,0.0,0.0,2.0,475.0,9341.0,12735,21188,2311.0,1661.0,53.0,1235.0,391.0,314.0,53.0,2411.0,96.0,26.0,10.0,12.0,0.0,14.0,50.0,2.0,1.0,118.0,40.0,3.0,29.0,5.0,198.0,2.0,302.0,9337,12735,21188
TOCHTEPEC,1787.0,1407.0,138.0,531.0,705.0,270.0,65.0,4811.0,121.0,17.0,34.0,8.0,1.0,0.0,0.0,0.0,0.0,143.0,101.0,4.0,35.0,0.0,0.0,2.0,527.0,10707.0,14163,21189,1227.0,877.0,75.0,228.0,1027.0,109.0,15.0,5788.0,173.0,13.0,26.0,9.0,0.0,8.0,9.0,3.0,0.0,339.0,154.0,13.0,60.0,9.0,264.0,5.0,399.0,10830,14163,21189
TOTOLTEPEC DE GUERRERO,209.0,233.0,17.0,14.0,14.0,4.0,11.0,258.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,808.0,958,21190,176.0,165.0,3.0,4.0,39.0,8.0,0.0,351.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,0.0,19.0,0.0,21.0,807,958,21190
TULCINGO,365.0,1924.0,545.0,68.0,296.0,46.0,25.0,971.0,46.0,18.0,56.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,22.0,2.0,4.0,0.0,0.0,1.0,285.0,4713.0,7529,21191,329.0,1592.0,444.0,31.0,400.0,28.0,15.0,1262.0,72.0,18.0,48.0,1.0,2.0,15.0,31.0,3.0,0.0,65.0,27.0,4.0,12.0,0.0,58.0,1.0,185.0,4643,7529,21191
TUZAMAPAN DE GALEANA,529.0,829.0,44.0,158.0,149.0,613.0,17.0,1034.0,12.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,21.0,9.0,1.0,6.0,0.0,0.0,0.0,241.0,3676.0,4415,21192,366.0,655.0,24.0,81.0,269.0,404.0,11.0,1504.0,53.0,3.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,57.0,14.0,2.0,2.0,0.0,25.0,0.0,150.0,3636,4415,21192
TZICATLACOYAN,589.0,932.0,49.0,57.0,159.0,108.0,404.0,998.0,20.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,0.0,0.0,83.0,441.0,3867.0,5075,21193,504.0,859.0,41.0,28.0,252.0,93.0,290.0,1234.0,70.0,5.0,4.0,1.0,0.0,1.0,12.0,1.0,0.0,30.0,8.0,2.0,5.0,1.0,47.0,117.0,343.0,3948,5075,21193
VENUSTIANO CARRANZA,7410.0,526.0,194.0,86.0,276.0,120.0,143.0,6129.0,62.0,102.0,71.0,25.0,0.0,0.0,0.0,0.0,0.0,103.0,61.0,12.0,36.0,0.0,0.0,2.0,452.0,15810.0,20881,21194,5981.0,517.0,144.0,33.0,526.0,65.0,64.0,7576.0,118.0,101.0,69.0,10.0,1.0,13.0,10.0,4.0,1.0,186.0,77.0,9.0,45.0,8.0,196.0,2.0,425.0,16181,20881,21194
VICENTE GUERRERO,5176.0,5313.0,98.0,84.0,164.0,52.0,42.0,1481.0,66.0,12.0,31.0,8.0,1.0,0.0,0.0,0.0,0.0,26.0,10.0,1.0,4.0,0.0,0.0,0.0,777.0,13346.0,16757,21195,4600.0,4405.0,70.0,32.0,440.0,36.0,25.0,2743.0,158.0,7.0,35.0,11.0,1.0,7.0,48.0,5.0,3.0,73.0,21.0,5.0,16.0,0.0,87.0,0.0,639.0,13467,16757,21195
XAYACATLAN DE BRAVO,41.0,375.0,11.0,18.0,21.0,96.0,87.0,367.0,12.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,76.0,1123.0,1428,21196,25.0,222.0,9.0,8.0,74.0,63.0,55.0,533.0,25.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,16.0,5.0,2.0,5.0,0.0,6.0,0.0,70.0,1125,1428,21196
XICOTEPEC,10612.0,9320.0,940.0,879.0,1018.0,476.0,519.0,11241.0,305.0,196.0,155.0,65.0,9.0,0.0,0.0,0.0,0.0,270.0,141.0,17.0,96.0,0.0,0.0,6.0,1920.0,38185.0,55468,21197,7662.0,7075.0,509.0,282.0,2058.0,202.0,223.0,14934.0,496.0,188.0,136.0,60.0,9.0,100.0,130.0,127.0,5.0,600.0,246.0,37.0,184.0,116.0,1658.0,11.0,1402.0,38450,55468,21197
XICOTLAN,322.0,246.0,1.0,5.0,1.0,3.0,1.0,308.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,913.0,1081,21198,312.0,133.0,1.0,0.0,10.0,0.0,1.0,269.0,4.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,9.0,0.0,5.0,759,1081,21198
XIUTETELCO,6017.0,7714.0,208.0,221.0,266.0,187.0,102.0,3051.0,95.0,46.0,44.0,58.0,7.0,0.0,0.0,0.0,0.0,54.0,19.0,3.0,29.0,0.0,0.0,0.0,1011.0,19132.0,26446,21199,5108.0,5999.0,108.0,82.0,707.0,97.0,55.0,5447.0,226.0,50.0,43.0,49.0,0.0,48.0,107.0,7.0,1.0,161.0,71.0,27.0,43.0,3.0,327.0,1.0,812.0,19579,26446,21199
XOCHIAPULCO,605.0,824.0,51.0,20.0,29.0,17.0,77.0,386.0,14.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,6.0,0.0,0.0,0.0,95.0,2153.0,2770,21200,482.0,620.0,23.0,9.0,62.0,6.0,46.0,636.0,30.0,1.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0,31.0,6.0,4.0,7.0,1.0,37.0,0.0,86.0,2100,2770,21200
XOCHILTEPEC,424.0,387.0,37.0,29.0,36.0,30.0,35.0,388.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,3.0,2.0,0.0,0.0,1.0,128.0,1541.0,2520,21201,354.0,312.0,17.0,9.0,79.0,22.0,19.0,663.0,25.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,27.0,8.0,4.0,10.0,0.0,33.0,2.0,99.0,1695,2520,21201
XOCHITLAN DE VICENTE SUAREZ,923.0,2474.0,73.0,136.0,115.0,706.0,55.0,1015.0,44.0,10.0,10.0,26.0,9.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,6.0,0.0,0.0,0.0,594.0,6231.0,8493,21202,815.0,2259.0,33.0,42.0,276.0,503.0,38.0,1421.0,92.0,15.0,13.0,28.0,7.0,16.0,49.0,3.0,0.0,79.0,17.0,9.0,11.0,0.0,59.0,0.0,450.0,6235,8493,21202
XOCHITLAN TODOS SANTOS,462.0,666.0,32.0,444.0,411.0,53.0,25.0,1095.0,38.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,28.0,6.0,10.0,0.0,0.0,0.0,237.0,3566.0,4602,21203,331.0,444.0,23.0,248.0,577.0,20.0,15.0,1382.0,57.0,6.0,24.0,2.0,0.0,6.0,12.0,1.0,3.0,93.0,36.0,5.0,14.0,1.0,73.0,1.0,192.0,3566,4602,21203
YAONAHUAC,573.0,558.0,342.0,78.0,362.0,78.0,536.0,1462.0,62.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,37.0,11.0,1.0,5.0,0.0,0.0,1.0,223.0,4343.0,5545,21204,334.0,417.0,161.0,12.0,554.0,23.0,299.0,2107.0,112.0,7.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,93.0,39.0,2.0,20.0,0.0,64.0,1.0,141.0,4406,5545,21204
YEHUALTEPEC,1596.0,947.0,153.0,219.0,468.0,581.0,109.0,6886.0,224.0,11.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,102.0,41.0,11.0,42.0,0.0,0.0,4.0,708.0,12147.0,16590,21205,1076.0,688.0,77.0,31.0,915.0,284.0,36.0,7157.0,268.0,23.0,11.0,14.0,19.0,8.0,11.0,2.0,1.0,500.0,115.0,20.0,76.0,3.0,488.0,4.0,489.0,12316,16590,21205
ZACAPALA,348.0,535.0,33.0,102.0,42.0,282.0,9.0,703.0,31.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,4.0,0.0,0.0,3.0,139.0,2267.0,3308,21206,256.0,417.0,13.0,51.0,92.0,214.0,7.0,944.0,52.0,0.0,8.0,3.0,1.0,0.0,3.0,1.0,1.0,45.0,7.0,2.0,7.0,3.0,32.0,1.0,103.0,2263,3308,21206
ZACAPOAXTLA,5240.0,3872.0,2073.0,700.0,1042.0,486.0,534.0,8915.0,234.0,75.0,59.0,49.0,19.0,0.0,0.0,0.0,0.0,245.0,120.0,19.0,75.0,0.0,0.0,4.0,1502.0,25263.0,38086,21207,2852.0,3667.0,1430.0,221.0,1983.0,247.0,163.0,11589.0,420.0,60.0,63.0,42.0,9.0,50.0,53.0,15.0,3.0,601.0,279.0,31.0,149.0,0.0,743.0,4.0,1214.0,25888,38086,21207
ZACATLAN,9719.0,10297.0,504.0,913.0,1155.0,511.0,971.0,13363.0,476.0,125.0,57.0,50.0,5.0,0.0,0.0,0.0,0.0,306.0,118.0,19.0,98.0,0.0,0.0,6.0,2280.0,40973.0,59565,21208,7719.0,7333.0,327.0,326.0,2164.0,253.0,315.0,17457.0,642.0,133.0,54.0,46.0,9.0,78.0,142.0,78.0,10.0,719.0,223.0,44.0,185.0,13.0,1601.0,17.0,1791.0,41679,59565,21208
